               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  54,            0.072305,            0.050906,            0.018207,             0.26486,             0.60065,             0.41107,             0.10825,            0.081458,            0.048691,            0.020997,           0.0027099,           0.0027099,             0.04781
                  55,            0.064878,            0.070023,            0.018023,             0.59519,             0.84532,             0.76476,             0.32293,            0.065914,            0.049845,            0.020768,            0.002681,            0.002681,            0.046781
                  56,            0.059184,            0.054474,            0.019247,             0.65024,             0.85666,             0.84911,             0.40357,            0.059408,            0.050215,            0.020545,           0.0026497,           0.0026497,             0.04575
                  57,            0.052218,            0.068508,            0.017194,             0.79302,             0.85384,             0.89107,             0.44329,            0.055436,             0.05007,            0.020461,           0.0026161,           0.0026161,            0.044716
                  58,            0.052008,            0.066447,            0.017453,             0.74852,             0.81946,             0.84182,             0.39468,            0.057994,            0.051141,            0.020433,           0.0025803,           0.0025803,             0.04368
                  59,            0.053056,            0.076304,            0.016721,              0.7952,             0.88962,             0.91349,             0.46166,            0.055646,            0.051161,            0.020198,           0.0025425,           0.0025425,            0.042642
                  60,            0.051036,            0.057837,            0.017821,             0.66294,             0.86492,             0.84933,               0.382,            0.055024,            0.051129,            0.020061,           0.0025026,           0.0025026,            0.041603
                  61,            0.050634,            0.057761,            0.016478,              0.5928,             0.91967,             0.79497,             0.30186,            0.056236,            0.051475,            0.020008,           0.0024609,           0.0024609,            0.040561
                  62,            0.049631,            0.059589,            0.017393,             0.63203,             0.90437,             0.83121,             0.37378,            0.051078,            0.050982,            0.019866,           0.0024175,           0.0024175,            0.039518
                  63,            0.045488,            0.060238,             0.01752,             0.73904,             0.78885,             0.86905,             0.38194,             0.05244,             0.05071,            0.019826,           0.0023725,           0.0023725,            0.038473
                  64,             0.04599,             0.06403,             0.01728,             0.66412,             0.82147,             0.86402,              0.3498,            0.050891,            0.049998,            0.019655,            0.002326,            0.002326,            0.037426
                  65,            0.050455,            0.064013,            0.016705,             0.66526,             0.77686,             0.65565,             0.29289,            0.061649,            0.053456,             0.01966,           0.0022782,           0.0022782,            0.036378
                  66,            0.053632,            0.065774,            0.016297,               0.582,              0.9019,             0.75044,             0.32219,            0.055108,             0.04923,             0.01945,           0.0022292,           0.0022292,            0.035329
                  67,            0.059881,            0.054919,            0.017632,             0.54324,             0.84023,             0.74784,              0.2918,            0.070173,            0.048901,            0.019324,           0.0021791,           0.0021791,            0.034279
                  68,            0.068342,            0.055553,            0.017164,             0.60145,             0.81565,             0.77828,             0.33598,              0.0661,            0.048214,            0.019056,           0.0021282,           0.0021282,            0.033228
                  69,            0.062468,            0.062091,            0.017067,             0.66624,             0.87004,             0.85818,             0.42893,            0.064827,            0.049252,            0.018921,           0.0020765,           0.0020765,            0.032176
                  70,            0.065084,            0.049435,            0.017532,             0.66624,             0.87004,             0.85818,             0.42893,            0.064827,            0.049252,            0.018921,           0.0020242,           0.0020242,            0.031124
                  71,            0.062869,            0.057391,            0.016822,             0.63622,             0.87087,             0.84211,             0.39612,             0.07012,            0.048077,            0.018802,           0.0019714,           0.0019714,            0.030071
